frecency[Hz] isousa[rad] isousa_gosa isousa_theory w/v w/v_gosa w/v_theory
2.000000 0.130690 0.005027 0.125008 0.990654 0.041718 0.992197
3.000000 0.183783 0.004712 0.186310 0.990654 0.041718 0.982695
5.000000 0.304734 0.006283 0.304396 0.953271 0.033220 0.954028
7.000000 0.409035 0.008796 0.414359 0.915888 0.032851 0.915375
10.000000 0.556062 0.009425 0.560982 0.841121 0.032145 0.846733
15.000000 0.749270 0.014137 0.755794 0.706542 0.022886 0.727727
20.000000 0.894726 0.010053 0.898637 0.598131 0.018671 0.622677
30.000000 1.070655 0.015080 1.083035 0.452336 0.014045 0.468650
50.000000 1.247212 0.015708 1.262627 0.289720 0.010801 0.303314
70.000000 1.337062 0.017593 1.347233 0.211215 0.008455 0.221706
100.000000 1.413717 0.018850 1.412965 0.150935 0.005064 0.157177
150.000000 1.479690 0.028274 1.465089 0.101402 0.003780 0.105511
