#frecency[Hz]  isousa[rad] isousa_gosa[rad] isousa_theory[rad] w/v[] w/v_gosa w/v_theory[]
0.200000 1.413717 0.069115 1.445788 0.125472 0.003690 0.124683
0.300000 1.366593 0.047124 1.384487 0.188679 0.005188 0.185234
0.500000 1.244071 0.025133 1.266401 0.301887 0.008030 0.299717
0.700000 1.139141 0.013195 1.156438 0.407547 0.013685 0.402603
1.000000 0.999026 0.018850 1.009814 0.535849 0.015178 0.532018
1.500000 0.786969 0.014137 0.815002 0.690566 0.017261 0.685867
2.000000 0.655965 0.012566 0.672159 0.797170 0.036283 0.782479
3.000000 0.486319 0.007540 0.487762 0.886792 0.041279 0.883384
5.000000 0.309447 0.010996 0.308169 0.957547 0.037639 0.952891
7.000000 0.226509 0.010996 0.223564 0.990566 0.042111 0.975114
10.000000 0.160221 0.009425 0.157831 1.004717 0.038074 0.987570
15.000000 0.112155 0.010367 0.105708 1.004717 0.038074 0.994418
20.000000 0.087965 0.012566 0.079410 1.004717 0.038074 0.996849
