#frecency[kHz]  isousa[rad] isousa_gosa[rad] isousa_theory[rad] w/v[] w/v_gosa w/v_theory
2.000000 0.722566 0.282743 0.655323 0.001756 0.000976 0.002036
3.000000 0.895354 0.235619 0.845399 0.002146 0.001171 0.002535
5.000000 1.099557 0.157080 1.050756 0.003902 0.000780 0.003881
7.000000 1.125947 0.105558 1.138570 0.005659 0.000780 0.005753
10.000000 1.156106 0.062832 1.155955 0.011220 0.000878 0.010516
12.000000 1.063115 0.045239 1.083995 0.018341 0.000780 0.017078
14.000000 0.738903 0.026389 0.823308 0.036293 0.001171 0.032992
15.000000 0.311018 0.028274 0.460799 0.052683 0.001951 0.049361
15.500000 0.014608 0.014608 0.157107 0.057756 0.001561 0.057810
15.900000 0.289718 0.013986 -0.134284 0.057561 0.000976 0.060779
16.000000 0.351858 0.030159 -0.208642 0.056585 0.001171 0.060694
17.000000 0.843832 0.032044 -0.810147 0.043707 0.001171 0.047779
18.000000 1.108354 0.045239 -1.112152 0.032390 0.000780 0.034043
20.000000 1.306903 0.050265 -1.347144 0.021707 0.000537 0.020614
25.000000 1.445133 0.062832 -1.493535 0.011268 0.000537 0.010602
30.000000 1.451416 0.131947 -1.531242 0.007571 0.000546 0.007358
