#frecency[Hz]  isousa[rad] isousa_gosa[rad] output[] output_gosa
200.000000 0.131947 0.006283 0.981308 0.019048
300.000000 0.216770 0.009425 0.990654 0.019048
500.000000 0.345575 0.015708 0.962617 0.019048
700.000000 0.439823 0.021991 0.925234 0.019048
1000.000000 0.596903 0.031416 0.841121 0.019048
1500.000000 0.772832 0.018850 0.719626 0.019048
2000.000000 0.904779 0.025133 0.626168 0.019048
3000.000000 1.093274 0.037699 0.448598 0.019048
5000.000000 1.256637 0.062832 0.299065 0.007619
7000.000000 1.407434 0.043982 0.214953 0.007619
10000.000000 1.482832 0.012566 0.156075 0.003810
15000.000000 1.583363 0.037699 0.109346 0.003810
