frecency[Hz] isousa[rad] isousa_gosa isousa_theory w/v w/v_gosa w/v_theory
2000.000000 0.115611 0.005027 0.125008 1.000000 0.037383 0.992197
3000.000000 0.173416 0.007540 0.186310 0.990654 0.037383 0.982695
5000.000000 0.301593 0.006283 0.304396 0.962617 0.037383 0.954028
7000.000000 0.413434 0.008796 0.414359 0.915888 0.037383 0.915375
10000.000000 0.452389 0.012566 0.560982 0.841121 0.037383 0.846733
15000.000000 0.584336 0.018850 0.755794 0.700935 0.018692 0.727727
20000.000000 0.678584 0.025133 0.898637 0.598131 0.028037 0.622677
30000.000000 0.791681 0.037699 1.083035 0.456075 0.018692 0.468650
50000.000000 0.973894 0.062832 1.262627 0.289720 0.009346 0.303314
70000.000000 1.099557 0.087965 1.347233 0.213084 0.007477 0.221706
100000.000000 1.256637 0.062832 1.412965 0.150467 0.003738 0.157177
150000.000000 1.432566 0.075398 1.465089 0.101869 0.003738 0.105511
