#2theta  sin(theta)  menkankaku sin(theta)/wave_length
24.600000 0.213030 3.615681 0.138287
25.660000 0.222059 3.477296 0.143790
28.450000 0.245730 3.134533 0.159513
28.520000 0.246322 3.134773 0.159501
40.620000 0.347099 2.219105 0.225316
40.720000 0.347918 2.219390 0.225287
50.290000 0.424911 1.812735 0.275826
50.410000 0.425858 1.813197 0.275756
58.740000 0.490448 1.570504 0.318369
58.900000 0.491664 1.570514 0.318367
66.480000 0.548147 1.405188 0.355824
66.670000 0.549533 1.405129 0.355839
73.790000 0.600350 1.283001 0.389711
74.010000 0.601885 1.282912 0.389738
87.740000 0.693024 1.111433 0.449870
88.020000 0.694784 1.111374 0.449893
94.610000 0.734974 1.047997 0.477101
94.930000 0.736865 1.047906 0.477142
101.540000 0.774613 0.994367 0.502832
101.900000 0.776596 0.994294 0.502870
108.670000 0.812440 0.948070 0.527387
109.030000 0.814268 0.948294 0.527263
